CC,Correlation,Distance1,Distance2,Distance3,K,KTemp,K_Recover,LR_After,LR_Before,MAE,Mean Error,Method,Method_Recover,N_Pairs,N_PairsLR,Pair1,Pair2,Pair3,Predicted_date,RMSE,ROI,R^2,Samples,W,Window_Range
,0.976057272,-32,-16,48,4,,,,,0.022762292,0.003430218,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035038299,SCTSCL,0.95203776,,9,
,0.975994937,-32,-16,48,6,,,,,0.022837157,0.003039703,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035054409,SCTSCL,0.951993647,,9,
,0.97647699,-32,-16,32,6,,,,,0.023483397,0.004832806,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.03512544,SCTSCL,0.951798897,,9,
,0.975687268,-32,-16,48,8,,,,,0.022929663,0.002818775,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035259178,SCTSCL,0.951431154,,9,
,0.975679862,-32,-16,48,4,,,,,0.023079142,0.003318225,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035305765,SCTSCL,0.951302725,,5,
,0.975626714,-32,-16,48,4,,,,,0.022977295,0.003507195,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035353525,SCTSCL,0.951170884,,7,
,0.97555043,-32,-16,48,4,,,,,0.023127734,0.003073653,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035370555,SCTSCL,0.951123831,,3,
,0.975542024,-32,-16,48,6,,,,,0.023085618,0.003098509,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035387317,SCTSCL,0.951077495,,7,
,0.976180178,-32,-16,32,4,,,,,0.023638105,0.00555379,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.035429424,SCTSCL,0.950961,,9,
,0.975433206,-32,-16,48,8,,,,,0.023063152,0.002826395,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035442668,SCTSCL,0.95092433,,7,
,0.975360667,-32,-16,48,8,,,,,0.023182673,0.002496959,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035469292,SCTSCL,0.950850573,,3,
,0.975416207,-32,-16,48,6,,,,,0.023201215,0.002965715,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035472702,SCTSCL,0.950841122,,5,
,0.97536841,-32,-16,48,6,,,,,0.023214112,0.002771299,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035483111,SCTSCL,0.950812268,,3,
,0.975322298,-32,-16,48,8,,,,,0.023206972,0.002675792,ESTARFM,,3,,01-07-17,17-07-17,19-09-17,02-08-17,0.035516436,SCTSCL,0.950719833,,5,
,0.975897936,-32,-16,32,8,,,,,0.023715904,0.004720465,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.035537541,SCTSCL,0.950661246,,9,
,0.982288477,-16,48,,6,,,,,0.026735246,0.018217899,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.035735818,SCTSCL,0.950109155,,3,
,0.98215763,-16,48,,8,,,,,0.026660045,0.01812163,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.035774959,SCTSCL,0.949999803,,3,
,0.97557973,-32,-16,32,6,,,,,0.02384958,0.005107119,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.035785799,SCTSCL,0.949969499,,7,
,0.982404117,-16,48,,4,,,,,0.026855133,0.018491975,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.03578923,SCTSCL,0.949959906,,3,
,0.981993715,-16,48,,8,,,,,0.026805636,0.018166324,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.035921924,SCTSCL,0.949588154,,5,
,0.981920176,-16,48,,6,,,,,0.026836275,0.018215044,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036005544,SCTSCL,0.949353182,,5,
,0.975411799,-32,-16,32,4,,,,,0.024017809,0.005869301,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.036008779,SCTSCL,0.949344081,,7,
,0.982056113,-16,48,,4,,,,,0.02690067,0.018458545,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036011491,SCTSCL,0.94933645,,5,
,0.975189492,-32,-16,32,8,,,,,0.024003968,0.004931482,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.03605062,SCTSCL,0.94922629,,7,
,0.975092634,-32,-16,32,6,,,,,0.024099857,0.004970672,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.036079932,SCTSCL,0.94914369,,3,
,0.981806745,-16,48,,6,,,,,0.02686601,0.018304094,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036116655,SCTSCL,0.949040112,,7,
,0.975101283,-32,-16,32,6,,,,,0.024091776,0.005140084,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.03611934,SCTSCL,0.949032536,,5,
,0.981699487,-16,48,,8,,,,,0.026854346,0.018201498,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036149288,SCTSCL,0.948947982,,7,
,0.981893667,-16,48,,4,,,,,0.026958939,0.018523552,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036157673,SCTSCL,0.948924297,,7,
,0.975068575,-32,-16,32,4,,,,,0.024159831,0.005509207,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.036166004,SCTSCL,0.948900756,,3,
,0.981674228,-16,48,,6,,,,,0.026934263,0.018444355,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036278016,SCTSCL,0.948583743,,9,
,0.974944028,-32,-16,32,4,,,,,0.02425204,0.005857532,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.03631845,SCTSCL,0.948469065,,5,
,0.981635227,-16,48,,4,,,,,0.027051919,0.01864115,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036391805,SCTSCL,0.948260692,,9,
,0.97459619,-32,-16,32,8,,,,,0.024282991,0.004830831,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.036411111,SCTSCL,0.948205782,,3,
,0.974572496,-32,-16,32,8,,,,,0.024302236,0.004981743,ESTARFM,,3,,01-07-17,17-07-17,03-09-17,02-08-17,0.036462657,SCTSCL,0.948059031,,5,
,0.981248036,-16,48,,8,,,,,0.026955055,0.018383713,ESTARFM,,2,,17-07-17,19-09-17,,02-08-17,0.036531263,SCTSCL,0.947863389,,9,
,0.977024921,-32,-16,,4,,,,,0.023540979,-0.014144489,ESTARFM,,2,,01-07-17,17-07-17,,02-08-17,0.037059412,SCTSCL,0.946344967,,9,
,0.97700589,-32,-16,,4,,,,,0.023574954,-0.014211134,ESTARFM,,2,,01-07-17,17-07-17,,02-08-17,0.037097197,SCTSCL,0.9462355,,7,
,0.977030638,-32,-16,,4,,,,,0.023647921,-0.014350248,ESTARFM,,2,,01-07-17,17-07-17,,02-08-17,0.037138937,SCTSCL,0.946114446,,5,
,0.976979521,-32,-16,,4,,,,,0.023785071,-0.014553042,ESTARFM,,2,,01-07-17,17-07-17,,02-08-17,0.037255356,SCTSCL,0.945776088,,3,
,0.976731046,-32,-16,,6,,,,,0.023707191,-0.014274731,ESTARFM,,2,,01-07-17,17-07-17,,02-08-17,0.037297889,SCTSCL,0.945652205,,9,
