Algorithm,Date 1,Date 2,Date 3,Error,K,MAE,Mask,Pairs,Predicted Date,RMSE,R^2,Region,Type,W,correlation,method,signal,R^2_RED,RMSE_RED,R^2_RED_DIFF,RMSE_RED_DIFF,R^2_RES,RMSE_RES,R^2_RES_DIFF,RMSE_RES_DIFF
Estair,,,,0.042229356,4,0.070576485,Water and Road,2,20170802,0.096416166,0.841740713,BenRib,Reduce,3,0.942881935,,NDVI,0.855255067,0.113984852,0.013514354,0.017568686,0.855255067,0.113984852,0.013514354,0.017568686
Estair,,,,0.042229356,4,0.070576485,Water and Building,2,20170802,0.096416166,0.841740713,BenRib,Reduce,3,0.942881935,,NDVI,0.843194278,0.113409904,0.001453565,0.016993739,0.843194278,0.113409904,0.001453565,0.016993739
Estair,,,,0.042229356,4,0.070576485,Road and Building,2,20170802,0.096416166,0.841740713,BenRib,Reduce,3,0.942881935,,NDVI,0.843194278,0.169039148,0.001453565,0.072622982,0.843194278,0.169039148,0.001453565,0.072622982
Estair,,,,0.042229356,4,0.070576485,All,2,20170802,0.096416166,0.841740713,BenRib,Reduce,3,0.942881935,,NDVI,0.843194278,0.176407069,0.001453565,0.079990903,0.843194278,0.176407069,0.001453565,0.079990903
Estair,,,,0.042229356,4,0.070576485,Building,2,20170802,0.096416166,0.841740713,BenRib,Reduce,3,0.942881935,,NDVI,0.843194278,0.097474799,0.001453565,0.001058633,0.843194278,0.097474799,0.001453565,0.001058633
Estair,,,,0.042229356,4,0.070576485,Road,2,20170802,0.096416166,0.841740713,BenRib,Reduce,3,0.942881935,,NDVI,0.855255067,0.10035024,0.013514354,0.003934074,0.855255067,0.10035024,0.013514354,0.003934074
Estair,,,,0.042229356,4,0.070576485,Water,2,20170802,0.096416166,0.841740713,BenRib,Reduce,3,0.942881935,,NDVI,0.891393689,0.081898203,0.049652976,-0.014517963,0.891393689,0.081898203,0.049652976,-0.014517963
Estair,,,,0.042452865,6,0.070595433,Water and Road,2,20170802,0.096716221,0.840754148,BenRib,Reduce,3,0.942662337,,NDVI,0.854175725,0.114159357,0.013421576,0.017443136,0.854175725,0.114159357,0.013421576,0.017443136
Estair,,,,0.042452865,6,0.070595433,Water and Building,2,20170802,0.096716221,0.840754148,BenRib,Reduce,3,0.942662337,,NDVI,0.842154362,0.113552558,0.001400214,0.016836337,0.842154362,0.113552558,0.001400214,0.016836337
Estair,,,,0.042452865,6,0.070595433,Road and Building,2,20170802,0.096716221,0.840754148,BenRib,Reduce,3,0.942662337,,NDVI,0.842154362,0.169254696,0.001400214,0.072538475,0.842154362,0.169254696,0.001400214,0.072538475
