Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
0,2,2,4,2,4,6,2,3,2,2,2,2
1,2,2,6,2,4,6,2,3,2,2,2,2
2,2,2,4,2,4,6,2,3,2,2,2,2
3,2,3,4,2,0,4,2,1,0,2,4,4
4,2,2,4,2,4,6,2,3,2,2,2,2
5,2,2,4,2,4,6,2,3,2,2,2,2
6,2,2,4,2,4,6,2,3,2,2,2,2
7,2,2,4,2,4,6,2,3,2,2,2,2
8,1,3,4,2,0,4,2,1,0,2,4,4
9,2,3,4,2,0,4,2,3,2,2,2,2
10,1,3,4,2,0,4,2,1,0,2,4,4
11,1,3,4,2,0,4,2,1,0,2,4,4
12,2,2,4,2,4,6,2,3,2,2,2,2
13,2,2,6,2,4,6,2,3,2,2,2,2
14,2,2,4,2,4,6,2,3,2,2,2,2
15,2,2,4,2,4,6,2,3,2,2,2,2
16,2,2,6,2,4,6,2,3,2,2,2,2
17,2,2,6,2,4,6,2,3,2,2,2,2
18,2,2,6,2,4,6,2,3,2,2,2,2
19,2,2,4,2,4,6,2,3,2,2,2,2
20,2,2,4,2,4,6,2,3,2,2,2,2
21,2,3,4,2,0,4,2,3,2,2,2,2
22,2,2,4,2,4,6,2,3,2,2,2,2
23,2,2,4,2,4,6,2,3,2,2,2,2
24,2,3,4,2,0,4,2,1,0,2,4,4
25,1,3,4,2,0,4,2,1,0,2,4,4
26,2,2,4,2,4,6,2,3,2,2,2,2
27,2,2,6,2,4,6,2,3,2,2,2,2
28,2,2,4,2,4,6,2,3,2,2,2,2
29,2,2,4,2,4,6,2,3,2,2,2,2
30,2,2,6,2,4,6,2,3,2,2,2,2
31,2,2,4,2,4,6,2,3,2,2,2,2
32,2,2,4,2,4,6,2,3,2,2,2,2
33,2,2,4,2,4,6,2,3,2,2,2,2
34,2,2,6,2,4,6,2,3,2,2,2,2
35,2,2,6,2,4,6,2,3,2,2,2,2
36,2,2,4,2,4,6,2,3,2,2,2,2
37,2,2,4,2,4,6,2,3,2,2,2,2
38,2,3,4,2,0,4,2,1,0,2,4,4
39,2,3,4,2,0,4,2,1,0,2,4,4
40,2,2,4,2,4,6,2,3,2,2,2,2
41,2,2,6,2,4,6,2,3,2,2,2,2
42,2,2,4,2,4,6,2,3,2,2,2,2
43,2,3,4,2,4,6,2,3,2,2,2,2
44,2,3,4,2,0,6,2,3,2,2,2,2
45,2,2,4,2,4,6,2,3,2,2,2,2
46,2,2,6,2,4,6,2,3,2,2,2,2
47,2,2,4,2,4,6,2,3,2,2,2,2
48,2,3,4,2,0,6,2,3,2,2,2,2
49,2,3,4,2,4,6,2,3,2,2,2,2
50,2,2,6,2,4,6,2,3,2,2,2,2
51,2,2,4,2,4,6,2,3,2,2,2,2
52,2,2,4,2,4,6,2,3,2,2,2,2
53,2,2,6,2,4,6,2,3,2,2,2,2
54,2,2,6,2,4,6,2,3,2,2,2,2
55,2,2,4,2,4,6,2,3,2,2,2,2
56,2,2,4,2,4,6,2,3,2,2,2,2
57,2,2,4,2,4,6,2,3,2,2,2,2
58,2,2,6,2,4,6,2,3,2,2,2,2
59,2,2,4,2,4,6,2,3,2,2,2,2
60,2,2,4,2,4,6,2,3,2,2,2,2
61,2,2,4,2,4,6,2,3,2,2,2,2
62,2,3,4,2,0,4,2,3,2,2,2,2
63,2,2,4,2,4,6,2,3,2,2,2,2
64,2,2,4,2,4,6,2,3,2,2,2,2
65,2,2,6,2,4,6,2,3,2,2,2,2
66,2,2,6,2,4,6,2,3,2,2,2,2
67,2,2,4,2,4,6,2,3,2,2,2,2
68,2,3,4,2,0,6,2,3,2,2,2,2
69,2,2,4,2,4,6,2,3,2,2,2,2
70,2,2,6,2,4,6,2,3,2,2,2,2
71,2,2,6,2,4,6,2,3,2,2,2,2
72,2,2,4,2,4,6,2,3,2,2,2,2
73,2,3,4,2,4,6,2,3,2,2,2,2
74,2,2,4,2,4,6,2,3,2,2,2,2
