Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
0,2,1,3,2,2,2,2,3,3,2,3,3
1,2,1,3,2,2,2,2,3,3,2,3,3
2,2,1,3,2,2,2,2,3,3,2,3,3
3,0,1,3,2,2,2,0,3,3,0,3,3
4,2,1,3,2,2,2,2,3,3,2,3,3
5,2,2,6,1,0,3,0,2,4,0,2,4
6,2,1,3,2,2,2,2,3,3,2,3,3
7,2,1,3,2,2,2,2,3,3,2,3,3
8,2,1,3,2,2,2,2,3,3,2,3,3
9,0,1,3,1,2,2,0,3,3,0,3,3
10,0,1,3,2,2,2,0,3,3,0,3,3
11,2,1,3,2,2,2,2,3,3,2,3,3
12,2,1,3,2,2,2,2,3,3,2,3,3
13,2,1,3,2,2,2,2,3,3,2,3,3
14,2,2,6,2,0,3,0,2,4,0,2,4
15,2,2,6,2,0,3,2,2,4,2,2,4
16,2,2,2,2,0,3,2,2,4,2,2,4
17,2,2,2,2,0,3,2,2,4,2,2,4
18,2,1,3,2,2,2,2,3,3,2,3,3
19,2,1,3,2,2,2,2,3,3,2,3,3
20,2,1,3,2,2,2,2,3,3,2,3,3
21,2,1,3,2,2,2,2,3,3,2,3,3
22,0,1,3,1,2,2,0,3,3,0,3,3
23,2,1,3,2,2,2,2,3,3,2,3,3
24,2,1,3,2,2,2,2,3,3,2,3,3
25,2,1,3,2,2,2,2,3,3,2,3,3
26,0,1,3,1,2,2,0,3,3,0,3,3
27,0,2,6,1,0,0,0,2,0,0,2,0
28,2,2,2,2,0,3,2,2,4,2,2,4
29,2,2,2,2,0,3,2,2,4,2,2,4
30,2,2,6,2,0,3,2,2,4,2,2,4
31,2,2,6,2,0,3,2,2,4,2,2,4
32,2,1,3,2,2,2,2,3,3,2,3,3
33,2,1,3,2,2,2,2,3,3,2,3,3
34,2,1,3,2,2,2,2,3,3,2,3,3
35,2,1,3,2,2,2,2,3,3,2,3,3
36,2,1,3,2,2,2,2,3,3,2,3,3
37,0,1,3,2,2,2,0,3,3,0,3,3
38,2,1,3,2,2,2,2,3,3,2,3,3
39,2,1,3,2,2,2,2,3,3,2,3,3
40,2,1,3,2,2,2,2,3,3,2,3,3
41,2,1,3,2,2,2,2,3,3,2,3,3
42,2,2,6,2,0,3,2,2,4,2,2,4
43,0,2,6,1,0,3,0,2,4,0,2,4
44,0,2,6,1,4,0,0,0,0,0,0,0
45,0,3,6,1,4,0,0,0,0,0,0,0
46,0,2,6,1,0,0,0,2,4,0,2,4
47,2,1,3,2,2,2,2,3,3,2,3,3
48,2,1,2,2,2,2,2,3,3,2,3,3
49,2,1,3,2,2,2,2,3,3,2,3,3
50,2,1,3,2,2,2,2,3,3,2,3,3
51,2,1,3,2,2,2,2,3,3,2,3,3
52,2,1,3,2,2,2,2,3,3,2,3,3
53,2,1,3,2,2,2,2,3,3,2,3,3
54,0,1,3,1,2,2,0,3,3,0,3,3
55,0,1,3,1,2,2,0,3,3,0,3,3
56,2,2,2,2,2,3,2,3,4,2,3,4
57,2,2,2,2,0,3,2,2,4,2,2,4
58,2,2,6,2,0,3,2,2,4,2,2,4
59,2,2,6,2,0,3,2,2,4,2,2,4
60,0,2,6,1,0,3,0,2,4,0,2,4
61,0,2,6,1,4,0,0,0,6,0,0,6
62,2,2,6,1,0,3,0,2,4,0,2,4
63,2,2,6,1,0,3,2,2,4,2,2,4
64,2,1,3,2,2,2,2,3,3,2,3,3
65,2,1,3,2,2,2,2,3,3,2,3,3
66,0,2,6,2,0,3,2,2,4,2,2,4
67,2,4,2,2,3,5,2,4,1,2,4,1
68,2,1,3,2,2,2,2,3,3,2,3,3
69,2,2,3,2,2,2,2,3,3,2,3,3
70,2,1,2,2,2,2,2,3,3,2,3,3
71,0,1,3,2,2,2,2,3,3,2,3,3
72,0,3,1,1,4,6,0,0,6,0,0,6
73,0,2,6,1,0,3,0,2,4,0,2,4
74,2,2,6,2,0,3,2,2,4,2,2,4
75,2,2,6,2,0,3,2,2,4,2,2,4
76,2,2,2,2,0,3,2,2,4,2,2,4
77,2,2,2,2,0,3,2,2,4,2,2,4
78,2,2,6,2,0,3,2,2,4,2,2,4
79,2,2,6,2,0,3,2,2,4,2,2,4
80,2,2,6,2,0,3,2,2,4,2,2,4
81,2,2,6,2,0,3,2,2,4,2,2,4
82,2,4,2,2,2,2,2,4,3,2,4,3
83,2,2,6,2,2,3,2,3,4,2,3,4
84,0,3,1,1,4,6,0,0,6,0,0,6
85,2,2,2,2,0,3,2,2,4,2,2,4
86,2,2,2,2,0,3,2,2,4,2,2,4
87,2,2,6,2,0,2,2,2,3,2,2,3
88,2,2,2,2,0,3,2,2,4,2,2,4
89,2,1,3,2,2,2,2,3,3,2,3,3
90,0,1,3,2,2,2,0,3,3,0,3,3
91,0,2,6,1,0,0,0,2,0,0,2,0
92,0,2,6,1,0,0,0,2,4,0,2,4
93,0,2,6,2,0,3,2,2,4,2,2,4
94,2,2,6,2,0,3,2,2,4,2,2,4
95,2,2,6,2,0,3,2,2,4,2,2,4
96,0,2,6,1,4,0,0,0,6,0,0,6
97,0,2,6,1,0,0,0,0,0,0,0,0
98,2,2,6,2,0,3,0,2,4,0,2,4
99,2,2,6,2,0,3,2,2,4,2,2,4
100,2,2,6,2,0,3,2,2,4,2,2,4
101,2,1,3,2,2,2,2,3,3,2,3,3
102,0,3,6,1,4,0,0,0,0,0,0,0
103,0,3,1,1,4,0,0,0,0,0,0,0
104,0,3,1,1,4,0,0,0,0,0,0,0
105,0,2,6,1,0,0,0,2,0,0,2,0
106,2,2,2,2,0,3,2,2,4,2,2,4
107,2,2,3,2,0,3,2,2,4,2,2,4
108,2,1,3,2,0,3,2,2,4,2,2,4
109,2,1,2,2,2,2,2,3,3,2,3,3
110,2,1,3,2,2,2,2,3,3,2,3,3
111,0,1,3,2,2,2,0,3,3,0,3,3
112,2,2,6,1,0,3,0,2,4,0,2,4
113,2,2,2,2,0,3,2,2,4,2,2,4
114,2,2,2,2,0,3,2,2,4,2,2,4
