Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
0,0,4,4,0,1,0,1,1,1,1,0,3
1,1,0,5,2,1,6,0,1,3,0,0,0
2,1,2,5,2,4,6,0,2,3,0,2,0
3,0,0,0,0,1,4,1,1,5,1,0,6
4,0,0,0,0,1,4,1,1,5,1,0,6
5,1,3,5,2,1,6,0,3,3,0,0,0
6,1,0,5,2,1,6,0,1,3,0,0,0
7,0,4,0,0,0,4,1,0,5,1,4,6
8,0,4,3,0,0,1,1,0,6,1,4,1
9,2,4,3,0,0,1,1,0,6,1,4,1
10,0,4,3,0,0,1,1,0,6,1,4,1
11,0,0,0,0,1,6,1,1,3,1,0,0
12,1,0,5,2,1,6,0,1,3,0,0,0
13,0,0,5,0,1,6,1,1,3,1,0,0
14,0,0,5,2,1,6,0,1,3,0,0,0
15,0,0,0,0,1,6,1,1,3,1,0,0
16,0,0,5,0,1,6,1,1,3,1,0,0
17,1,0,5,2,1,6,0,1,3,0,0,0
18,0,0,5,0,1,6,1,1,3,1,0,0
19,0,0,5,0,1,6,1,1,3,1,0,0
20,1,2,1,2,4,2,0,2,2,0,2,5
21,1,2,5,2,4,6,0,2,3,0,2,0
22,0,4,0,0,1,0,1,1,1,1,0,3
23,2,4,3,0,0,0,1,0,1,1,4,3
24,0,4,0,0,0,4,1,0,5,1,4,6
25,0,0,5,0,1,6,1,1,3,1,0,0
26,1,0,5,2,1,6,0,1,3,0,0,0
27,0,0,5,0,1,6,1,1,3,1,0,0
28,0,0,5,2,1,6,0,1,3,0,0,0
29,0,0,5,0,1,6,1,1,3,1,0,0
30,2,1,3,1,0,1,2,0,6,2,4,1
31,2,4,3,1,0,1,2,0,6,2,4,1
32,2,4,4,0,0,0,1,0,1,1,4,3
33,0,4,4,0,0,0,1,0,1,1,4,3
34,2,4,4,0,0,0,1,0,1,1,4,3
35,2,4,3,1,0,1,2,0,6,2,4,1
36,0,4,0,0,0,4,1,0,5,1,4,6
37,0,4,4,0,0,0,1,0,1,1,4,3
38,0,4,4,0,0,0,1,0,1,1,4,3
39,0,4,4,0,0,0,1,0,1,1,4,3
40,0,4,4,0,0,0,1,0,1,1,4,3
41,0,4,3,0,0,1,1,0,6,1,4,1
42,0,4,4,0,0,0,1,0,1,1,4,3
43,0,4,4,0,0,0,1,0,1,1,4,3
44,0,4,4,0,0,0,1,0,1,1,4,3
45,0,4,3,0,0,1,1,0,6,1,4,3
46,2,4,3,1,0,1,2,0,6,2,4,1
47,2,4,3,1,0,1,2,0,6,2,4,1
48,2,1,2,1,3,3,2,4,4,2,3,4
49,2,1,2,1,3,3,2,4,4,2,3,4
50,2,1,2,1,3,3,2,4,4,2,3,4
51,0,0,0,0,1,4,1,1,5,1,0,6
52,0,4,3,0,0,4,1,0,5,1,4,6
53,2,4,3,1,0,1,2,0,6,2,4,1
54,2,4,3,1,0,1,2,0,6,2,4,1
55,0,4,3,0,0,1,1,0,6,1,4,1
56,0,4,3,0,0,1,1,0,6,1,4,1
57,2,4,3,1,0,1,2,0,6,2,4,1
58,0,4,4,0,0,0,1,0,1,1,4,3
59,0,4,4,0,0,0,1,0,1,1,4,3
60,0,4,4,0,0,0,1,0,1,1,4,3
61,2,1,2,1,3,3,2,4,4,2,3,4
62,2,4,3,1,0,1,2,0,6,2,4,1
63,0,4,0,0,0,4,1,0,5,1,4,6
64,0,0,0,0,1,4,1,1,5,1,0,6
65,0,0,0,0,1,4,1,1,5,1,0,6
66,0,0,0,0,1,4,1,1,5,1,0,6
67,0,4,0,0,0,4,1,0,5,1,4,6
68,0,4,0,0,0,4,1,0,5,1,4,6
69,0,4,4,0,0,4,1,0,5,1,4,6
70,0,4,4,0,0,4,1,0,5,1,4,6
71,0,4,4,0,0,0,1,0,1,1,4,3
72,0,4,4,0,0,0,1,0,1,1,4,3
73,0,4,0,0,0,4,1,0,5,1,4,6
74,0,4,0,0,0,4,1,0,5,1,4,6
75,0,4,4,0,0,0,1,0,1,1,4,3
76,0,4,4,0,0,0,1,0,1,1,4,3
77,0,0,4,0,1,6,1,1,3,1,0,0
78,1,0,5,2,1,6,0,1,3,0,0,0
79,0,0,0,0,1,6,1,1,3,1,0,0
80,0,0,0,0,1,6,1,1,3,1,0,0
81,0,0,5,0,1,6,1,1,3,1,0,0
82,1,3,5,2,2,5,0,3,0,0,1,2
83,1,2,1,2,4,2,0,2,2,0,2,5
84,1,2,5,2,4,2,0,2,2,0,2,5
85,0,0,5,0,1,6,1,1,3,1,0,0
86,0,0,0,0,1,4,1,1,5,1,0,6
87,0,0,0,0,1,4,1,1,5,1,0,6
88,0,0,0,0,1,4,1,1,5,1,0,6
89,0,4,4,0,0,0,1,0,1,1,4,3
90,0,4,4,0,0,0,1,0,1,1,4,3
91,0,0,0,0,1,0,1,1,1,1,0,3
92,1,2,1,2,4,2,0,2,2,0,2,5
93,1,2,1,2,4,2,0,2,2,0,2,5
94,1,2,1,2,4,2,0,2,2,0,2,5
95,1,2,1,2,4,2,0,2,2,0,2,5
96,1,2,1,2,4,2,0,2,2,0,2,5
97,1,2,1,2,4,2,0,2,2,0,2,5
98,1,2,1,2,4,2,0,2,2,0,2,5
99,1,0,5,2,1,6,0,1,3,0,0,0
100,0,0,5,0,1,6,1,1,3,1,0,0
101,1,2,5,2,4,6,0,2,3,0,2,0
102,0,0,5,0,1,6,1,1,3,1,0,0
103,0,4,4,0,0,4,1,0,5,1,4,6
104,2,4,3,0,0,1,1,0,6,1,4,1
105,2,1,2,1,3,1,2,4,6,2,3,1
106,2,1,2,1,3,3,2,4,4,2,3,1
107,2,1,3,1,3,1,2,4,6,2,3,1
108,2,1,2,1,3,3,2,4,4,2,3,4
109,2,1,2,1,3,3,2,4,4,2,3,4
110,2,1,2,1,3,3,2,4,4,2,3,4
111,1,2,5,2,4,6,0,2,3,0,2,0
112,1,2,1,2,4,2,0,2,2,0,2,5
113,1,2,1,2,4,2,0,2,2,0,2,5
114,1,2,1,2,4,2,0,2,2,0,2,5
115,1,2,1,2,4,2,0,2,2,0,2,5
116,1,2,1,2,4,2,0,2,2,0,2,5
117,1,2,5,2,4,6,0,2,3,0,2,0
118,1,2,1,2,4,2,0,2,2,0,2,5
119,0,0,5,0,1,6,1,1,3,1,0,0
120,0,0,0,0,1,4,1,1,5,1,0,6
121,0,0,5,0,1,6,1,1,3,1,0,0
122,1,0,5,2,1,6,0,1,3,0,0,0
123,1,0,5,2,4,6,0,2,3,0,2,0
124,1,0,5,2,1,6,0,1,3,0,0,0
125,1,2,1,2,4,2,0,2,2,0,2,5
126,1,2,1,2,4,2,0,2,2,0,2,5
127,1,2,5,2,4,2,0,2,2,0,2,5
128,0,0,5,0,1,6,1,1,3,1,0,0
129,0,0,0,0,1,4,1,1,5,1,0,6
130,0,0,0,0,1,4,1,1,5,1,0,6
131,0,4,4,0,0,0,1,0,1,1,4,3
132,0,4,4,0,0,0,1,0,1,1,4,3
133,1,2,5,2,4,6,0,2,3,0,2,0
134,1,2,1,2,4,2,0,2,2,0,2,5
135,1,0,5,2,1,6,0,1,3,0,0,0
136,0,4,4,0,0,0,1,0,1,1,4,3
137,0,0,0,0,1,0,1,1,1,1,0,3
138,1,0,5,2,1,6,0,2,3,0,2,0
139,1,0,5,2,1,6,0,1,3,0,0,0
140,1,0,5,2,1,6,0,1,3,0,0,0
141,1,0,5,2,1,6,0,1,3,0,0,0
